OrderID,ContactName,ContactPhone,ContactEmail,FulfillmentType,OrderDateTime,OrderStatus,SubtotalAmount,VoucherDiscountAmount,MyKasihSubsidyTotal,GrandTotal,PaymentMethod,PaymentStatus,PaymentDateTime,CustomerID,BranchID,VoucherID,StaffID
O00023,,,,WALK_IN,2024-01-01 09:33:56,COMPLETED,303.19,0.0,0.0,303.19,CARD,PAID,2024-01-01 09:37:15,,B004,,
O00038,,,,WALK_IN,2024-01-01 19:58:41,COMPLETED,387.08,0.0,0.0,387.08,CASH,PAID,2024-01-01 20:01:56,C0001,B001,,
O00008,,,,WALK_IN,2024-01-02 11:59:14,COMPLETED,156.92,0.0,0.0,156.92,CASH,PAID,2024-01-02 11:59:44,C0001,B002,,
O00032,,,,WALK_IN,2024-01-02 15:44:06,COMPLETED,288.4,0.0,0.0,288.4,CASH,PAID,2024-01-02 15:46:43,C0001,B002,,
O00036,,,,PICKUP,2024-01-03 12:30:15,COMPLETED,157.2,0.0,0.0,157.2,ONLINE_BANKING,PAID,2024-01-03 12:34:13,C0001,B011,,
O00024,,,,WALK_IN,2024-01-03 16:54:36,COMPLETED,18.74,0.0,0.0,18.74,ONLINE_BANKING,PAID,2024-01-03 16:59:01,C0002,B002,,
O00013,Goh Jia Wei,+60124834068,goh.jia.wei.c0002@example.test,DELIVERY,2024-01-04 18:11:06,COMPLETED,303.98,0.0,0.0,316.13,E_WALLET,PAID,2024-01-04 18:12:06,C0002,B001,,
O00028,,,,WALK_IN,2024-01-04 18:25:05,COMPLETED,235.83,0.0,0.0,235.83,CASH,PAID,2024-01-04 18:29:35,C0002,B002,,
O00033,,,,WALK_IN,2024-01-05 11:29:11,COMPLETED,36.04,0.0,0.0,36.04,CASH,PAID,2024-01-05 11:31:24,C0001,B002,,
O00002,,,,WALK_IN,2024-01-05 17:40:27,COMPLETED,118.35,0.0,0.0,118.35,CASH,PAID,2024-01-05 17:43:36,C0001,B001,,
O00011,Guest User,+60159733606,guest11@example.test,PICKUP,2024-01-06 15:45:40,COMPLETED,143.73,0.0,0.0,143.73,ONLINE_BANKING,PAID,2024-01-06 15:47:55,,B008,,
O00046,Goh Jia Wei,+60124834068,goh.jia.wei.c0002@example.test,DELIVERY,2024-01-09 11:25:43,COMPLETED,317.76,0.0,0.0,325.01,ONLINE_BANKING,PAID,2024-01-09 11:29:35,C0002,B004,,
O00041,,,,WALK_IN,2024-01-09 20:13:10,COMPLETED,240.77,0.0,0.0,240.77,CARD,PAID,2024-01-09 20:13:36,C0001,B007,,
O00039,Loh Li Xuan,+60105826532,loh.li.xuan.c0003@example.test,DELIVERY,2024-01-11 19:36:04,COMPLETED,87.55,0.0,0.0,110.35,CARD,PAID,2024-01-11 19:40:03,C0003,B008,,
O00030,,,,WALK_IN,2024-01-12 14:02:53,CANCELLED,71.31,0.0,0.0,71.31,ONLINE_BANKING,FAILED,,C0001,B001,,S0012
O00027,Guest User,+60144969106,guest27@example.test,PICKUP,2024-01-12 14:04:46,COMPLETED,132.28,0.0,0.0,132.28,CASH,PAID,2024-01-12 14:07:43,,B002,,
O00006,,,,WALK_IN,2024-01-12 14:20:35,COMPLETED,182.39,0.0,0.0,182.39,CASH,PAID,2024-01-12 14:21:11,,B008,,
O00049,,,,WALK_IN,2024-01-13 11:29:56,COMPLETED,250.47,0.0,0.0,250.47,CASH,PAID,2024-01-13 11:32:30,C0003,B001,,S0012
O00021,,,,WALK_IN,2024-01-13 19:57:55,COMPLETED,81.28,0.0,0.0,81.28,CASH,PAID,2024-01-13 20:01:16,C0002,B007,,
O00044,,,,WALK_IN,2024-01-14 08:42:43,COMPLETED,298.6,0.0,0.0,298.6,CASH,PAID,2024-01-14 08:45:53,C0002,B002,,
O00005,,,,WALK_IN,2024-01-14 20:20:57,COMPLETED,15.1,0.0,0.0,15.1,CARD,PAID,2024-01-14 20:23:43,C0003,B001,,S0012
O00016,,,,WALK_IN,2024-01-18 19:05:05,COMPLETED,221.83,0.0,0.0,221.83,CASH,PAID,2024-01-18 19:09:22,C0002,B002,,
O00045,,,,WALK_IN,2024-01-19 09:34:20,COMPLETED,113.41,0.0,0.0,113.41,CASH,PAID,2024-01-19 09:35:48,,B002,,
O00034,,,,WALK_IN,2024-01-19 13:27:41,COMPLETED,197.3,0.0,0.0,197.3,CASH,PAID,2024-01-19 13:31:00,C0002,B008,,
