"CUSTOMER_KEY","CUSTOMER_ID","CUSTOMER_NAME","IS_BENEFICIARY","TIER_NAME","JOIN_DATE","CUSTOMER_TENURE_DAYS","LAST_PURCHASE_DATE","DAYS_SINCE_LAST_PURCHASE","TOTAL_PURCHASES","TOTAL_SALES_AMOUNT","TOTAL_REFUND_AMOUNT","TOTAL_SPENDING","CUSTOMER_LIFETIME_VALUE","AVERAGE_ORDER_VALUE","RECENCY_SCORE","FREQUENCY_SCORE","MONETARY_SCORE","RFM_SEGMENT","CHURN_RISK","PREFERRED_CATEGORY","PREFERRED_BRANCH","PREFERRED_BRANCH_CITY","PREFERRED_BRANCH_STATE"
12001,"C0001","Saraswathy a/p Raman","N","Normal Member","2021-12-14",1659,"2025-12-25",187,39,1335.9,0,1335.9,1335.9,34.25,1,5,5,"At Risk","High Risk","Cooking Essentials","Ampang 88 Speedmart","Ampang","Selangor"
12002,"C0002","Ong Kin Hoong","N","Normal Member","2021-01-28",1979,"2025-12-19",193,49,1546.66,0,1546.66,1546.66,31.56,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12003,"C0003","Zara binti Daud","N","Normal Member","2020-09-25",2104,"2024-08-10",689,39,1918.73,0,1918.73,1918.73,49.2,1,5,5,"At Risk","Churned","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12004,"C0004","Aqilah binti Ishak","N","VIP Member","2020-08-10",2150,"2026-03-07",115,34,1232.98,0,1232.98,1232.98,36.26,2,5,5,"At Risk","Medium Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12005,"C0005","Khalid bin Azman","N","Non-Member",,,"2025-11-23",219,29,1146.63,0,1146.63,1146.63,39.54,1,5,5,"At Risk","High Risk","Canned and Packaged Food","Ampang 88 Speedmart","Ampang","Selangor"
12006,"C0006","Faris bin Omar","N","Normal Member","2020-06-19",2202,"2025-11-26",216,65,2159.01,0,2159.01,2159.01,33.22,1,5,5,"At Risk","High Risk","Frozen Food","Ampang 88 Speedmart","Ampang","Selangor"
12007,"C0007","Sabrina binti Yusof","N","Normal Member","2021-01-25",1982,"2025-11-08",234,42,1544.02,0,1544.02,1544.02,36.76,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12008,"C0008","Grace a/p Krishnan","N","Normal Member","2020-10-11",2088,"2025-11-16",226,27,830.98,0,830.98,830.98,30.78,1,5,5,"At Risk","High Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12009,"C0009","Sanjay a/l Murugan","N","Non-Member",,,"2026-06-21",9,33,1010.56,0,1010.56,1010.56,30.62,5,5,5,"Champions","Low Risk","Rice and Grains","Ampang 88 Speedmart","Ampang","Selangor"
12010,"C0010","Chow Seng Huat","N","Normal Member","2021-02-03",1973,"2026-05-01",60,27,1059.09,0,1059.09,1059.09,39.23,4,5,5,"Champions","Low Risk","Instant Food","Ampang 88 Speedmart","Ampang","Selangor"
