Staff_Name,Role,Branch_Name,Cal_Year,Cal_Year_Month,Cal_Month_Name,Orders_Processed,Revenue_Handled,Avg_Revenue_Per_Order,Employment_Status
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-01,"January",8,416.05,52.01,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-02,"February",6,127.81,21.3,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-03,"March",8,352.74,44.09,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-04,"April",10,361.52,36.15,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-05,"May",8,283.71,35.46,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-06,"June",9,261.88,29.1,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-07,"July",7,203.87,29.12,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-08,"August",5,223.17,44.63,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-09,"September",6,224.54,37.42,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-10,"October",11,535.4,48.67,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-11,"November",8,182.28,22.79,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2023,2023-12,"December",12,312.98,26.08,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-01,"January",7,181.43,25.92,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-02,"February",10,778.01,77.8,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-03,"March",5,266.61,53.32,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-04,"April",10,252.42,25.24,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-05,"May",6,133.05,22.18,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-06,"June",11,413.12,37.56,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-07,"July",5,239.89,47.98,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-08,"August",5,221.74,44.35,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-09,"September",9,548.18,60.91,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-10,"October",4,130.5,32.63,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-11,"November",14,623.6,44.54,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2024,2024-12,"December",12,429.08,35.76,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-01,"January",9,326.35,36.26,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-02,"February",3,106.43,35.48,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-03,"March",7,172.46,24.64,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-04,"April",4,144.03,36.01,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-05,"May",5,236.67,47.33,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-06,"June",14,354.3,25.31,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-07,"July",7,352.8,50.4,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-08,"August",11,354.55,32.23,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-09,"September",10,383.39,38.34,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-10,"October",10,541.92,54.19,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-11,"November",14,859.79,61.41,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2025,2025-12,"December",20,594.13,29.71,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2026,2026-01,"January",7,178.99,25.57,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2026,2026-02,"February",11,416.35,37.85,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2026,2026-03,"March",10,506.61,50.66,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2026,2026-04,"April",7,138.62,19.8,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2026,2026-05,"May",10,470.52,47.05,ACTIVE
"Ahmad Abdullah","MANAGER","Kota Kinabalu 88 Speedmart",2026,2026-06,"June",13,595.65,45.82,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2021,2021-06,"June",12,669.54,55.8,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2021,2021-07,"July",7,210.99,30.14,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2021,2021-08,"August",17,457.78,26.93,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2021,2021-09,"September",5,145.83,29.17,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2021,2021-10,"October",10,359.16,35.92,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2021,2021-11,"November",12,391.65,32.64,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2021,2021-12,"December",23,812.9,35.34,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-01,"January",10,263.71,26.37,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-02,"February",5,108.7,21.74,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-03,"March",4,185.95,46.49,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-04,"April",7,229.26,32.75,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-05,"May",5,225.6,45.12,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-06,"June",9,209.66,23.3,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-07,"July",9,463.89,51.54,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-08,"August",10,301.17,30.12,ACTIVE
"Ahmad Ahmad","CASHIER","Johor Bahru 88 Speedmart",2022,2022-09,"September",6,200.25,33.38,ACTIVE
